MERRA_ID,YEAR,WIND_VELOCITY_AVG
133787,2014,2
134896,2014,2
136045,2014,2
137241,2014,0
136621,2014,2
138924,2014,3
151077,2014,0
149346,2014,2
134361,2014,2
137194,2014,2
133790,2014,0
148770,2014,3
136620,2014,2
134943,2014,1
137243,2014,0
138922,2014,3
133786,2014,1
134319,2014,2
136090,2014,0
138347,2014,3
138348,2014,3
135515,2014,1
134895,2014,2
144732,2014,3
137819,2014,0
138346,2014,3
138349,2014,2
149922,2014,1
149346,2015,2
133786,2015,1
138348,2015,3
138922,2015,3
134319,2015,3
135515,2015,1
137194,2015,2
134895,2015,2
134943,2015,1
136620,2015,2
136090,2015,0
138347,2015,3
137243,2015,0
137819,2015,0
138349,2015,2
138924,2015,3
148770,2015,3
133790,2015,0
136045,2015,2
137241,2015,0
138346,2015,3
149922,2015,1
133787,2015,2
151077,2015,0
134361,2015,2
134896,2015,2
136621,2015,2
144732,2015,3
136090,2016,0
137243,2016,0
137819,2016,0
138347,2016,3
144732,2016,3
133786,2016,1
135515,2016,2
134319,2016,3
134361,2016,2
137194,2016,2
138346,2016,3
136621,2016,2
138348,2016,3
148770,2016,3
149346,2016,2
134896,2016,2
136045,2016,2
136620,2016,3
133790,2016,0
134943,2016,1
138924,2016,3
133787,2016,2
138349,2016,2
138922,2016,3
151077,2016,0
134895,2016,3
137241,2016,0
149922,2016,1
133787,2017,2
134319,2017,3
136045,2017,2
136621,2017,2
137194,2017,2
136090,2017,0
138346,2017,3
137819,2017,0
138922,2017,3
137243,2017,0
134895,2017,2
134943,2017,1
136620,2017,2
138348,2017,3
134361,2017,2
137241,2017,0
148770,2017,3
149346,2017,2
149922,2017,1
133786,2017,1
133790,2017,0
138349,2017,3
138924,2017,3
144732,2017,3
134896,2017,2
151077,2017,0
135515,2017,2
138347,2017,3
133787,2018,2
133790,2018,0
134943,2018,1
136045,2018,2
136620,2018,2
138924,2018,3
151077,2018,0
138348,2018,3
137194,2018,2
136090,2018,0
138347,2018,3
133786,2018,1
134319,2018,2
136621,2018,2
138922,2018,2
137243,2018,0
148770,2018,4
134361,2018,2
134895,2018,2
134896,2018,2
135515,2018,2
137241,2018,0
137819,2018,0
138346,2018,3
149922,2018,1
138349,2018,3
144732,2018,3
149346,2018,2
149346,2019,2
134895,2019,3
135515,2019,2
138922,2019,3
151077,2019,0
134361,2019,2
134896,2019,3
134943,2019,1
136620,2019,2
137194,2019,2
133786,2019,1
138924,2019,3
149922,2019,1
133787,2019,2
136621,2019,2
137819,2019,0
138347,2019,3
144732,2019,3
133790,2019,0
134319,2019,3
148770,2019,4
138346,2019,3
137243,2019,0
138348,2019,3
138349,2019,3
137241,2019,0
136045,2019,2
136090,2019,0
137241,2020,0
144732,2020,3
134319,2020,3
135515,2020,2
151077,2020,0
133786,2020,1
138349,2020,2
133787,2020,2
133790,2020,0
136090,2020,0
136045,2020,2
136620,2020,2
137243,2020,0
138347,2020,3
134943,2020,1
138348,2020,3
134361,2020,2
138346,2020,3
138922,2020,2
134896,2020,3
136621,2020,2
137819,2020,0
149346,2020,2
149922,2020,1
134895,2020,3
138924,2020,3
137194,2020,2
148770,2020,4
133790,2021,0
136045,2021,2
138347,2021,3
133786,2021,1
134896,2021,3
136620,2021,2
137241,2021,0
138922,2021,3
144732,2021,3
138348,2021,3
138346,2021,3
135515,2021,1
137243,2021,0
148770,2021,3
149346,2021,2
134895,2021,3
136621,2021,2
137819,2021,0
138349,2021,3
133787,2021,2
149922,2021,1
136090,2021,0
137194,2021,3
134319,2021,3
134361,2021,2
134943,2021,1
151077,2021,0
138924,2021,3
133787,2022,2
133790,2022,0
134896,2022,2
134943,2022,1
137819,2022,0
138346,2022,3
144732,2022,3
136090,2022,0
151077,2022,0
134361,2022,2
133786,2022,1
137241,2022,0
134319,2022,3
136045,2022,2
136620,2022,2
137194,2022,2
138348,2022,3
138349,2022,3
138922,2022,3
149346,2022,2
137243,2022,0
134895,2022,2
138347,2022,3
148770,2022,3
135515,2022,1
136621,2022,2
138924,2022,3
149922,2022,1
133786,2023,1
136045,2023,2
138922,2023,3
149922,2023,1
148770,2023,3
133787,2023,2
134896,2023,2
134943,2023,1
135515,2023,2
134361,2023,2
134895,2023,2
136090,2023,0
136620,2023,3
138347,2023,3
133790,2023,0
134319,2023,3
136621,2023,2
149346,2023,2
138346,2023,3
144732,2023,3
151077,2023,0
137194,2023,2
137241,2023,0
137243,2023,0
137819,2023,0
138348,2023,3
138349,2023,3
138924,2023,3
137241,2024,0
135515,2024,2
136045,2024,2
136620,2024,2
138922,2024,3
133790,2024,0
134896,2024,2
137194,2024,2
134361,2024,2
134895,2024,2
134319,2024,3
151077,2024,0
137819,2024,0
138348,2024,3
137243,2024,0
133786,2024,1
134943,2024,1
138924,2024,2
149346,2024,2
133787,2024,2
136621,2024,2
138347,2024,3
136090,2024,0
138346,2024,2
138349,2024,2
144732,2024,3
149922,2024,1
148770,2024,3
